no,caption,file_path
0,右腕に入れ墨をした男性がいる,train2014/COCO_train2014_000000003412.jpg
1,壁にはたくさんの落書きがされている,train2014/COCO_train2014_000000009429.jpg
2,半被を着た人たちが凧揚げをしている,train2014/COCO_train2014_000000115218.jpg
3,ムチムチの女性がサンドイッチを頬張っている,train2014/COCO_train2014_000000112226.jpg
4,若い男性と女性が結婚式を挙げている,train2014/COCO_train2014_000000009372.jpg
5,子供たちがハンドルのおもちゃを持っている,train2014/COCO_train2014_000000087610.jpg
6,女性が包丁で林檎の皮をむいている,train2014/COCO_train2014_000000025167.jpg
7,帽子をかぶった用事がスキー板を履いている,train2014/COCO_train2014_000000097376.jpg
8,バナナを咥えた黒Tシャツを着た男と鼻に輪っかをつけた女がいる,train2014/COCO_train2014_000000054425.jpg
9,顔の横に犬のぬいぐるみを置いた幼児が手をあげている,train2014/COCO_train2014_000000047778.jpg
10,女性がベンチに座って食事をしている,train2014/COCO_train2014_000000005962.jpg
11,男性と女性がテニスをしている,train2014/COCO_train2014_000000002842.jpg
12,子供が雪の上をスキー板で歩いている,train2014/COCO_train2014_000000019394.jpg
13,ワンピーススタイルの女性がテニスをしている,train2014/COCO_train2014_000000029964.jpg
14,人々が川の流れの中でバイキングを楽しんでいる,train2014/COCO_train2014_000000041305.jpg
15,黒いズボンを履いた赤いＴシャツをきた男性がいる,train2014/COCO_train2014_000000032903.jpg
16,男性が髪の毛をとかしてもらっている,train2014/COCO_train2014_000000017413.jpg
17,男性がワイングラスに入った赤ワインを飲んでいる,train2014/COCO_train2014_000000033901.jpg
18,スーツを着た男性が渋い顔をしている,train2014/COCO_train2014_000000037030.jpg
19,外国人女性2人と男性が海を眺めている,train2014/COCO_train2014_000000009057.jpg
20,何かを空にあげて楽しんでいる人々,train2014/COCO_train2014_000000024778.jpg
21,小さい子供たちがカイトをあげようとしている,train2014/COCO_train2014_000000033861.jpg
22,ピンクのシャツを着た男性が、緑の食べ物の入った容器を口の前に持ちカメラを見ている,train2014/COCO_train2014_000000008813.jpg
23,サングラスをかけた男性がフリスビーをしている,train2014/COCO_train2014_000000118296.jpg
24,テニスボールを打ち返そうと待機している女性,train2014/COCO_train2014_000000008297.jpg
25,ピンクの傘をさして、自転車に乗っている,train2014/COCO_train2014_000000066230.jpg
26,ビニール傘をさした二人が話しをしている,train2014/COCO_train2014_000000022222.jpg
27,ピザを切ろうとしている黒い服を着た男性,train2014/COCO_train2014_000000049746.jpg
28,白いシャツを着た男性がスケボーをしている,train2014/COCO_train2014_000000110142.jpg
29,男性がバナナの中身をスプーンで食べている,train2014/COCO_train2014_000000120643.jpg
30,ベッドのうえに座った女性が横を向いている,train2014/COCO_train2014_000000094010.jpg
31,テニスをしている人たちが休憩している,train2014/COCO_train2014_000000009488.jpg
32,男性がピザの前に四人立っている,train2014/COCO_train2014_000000119714.jpg
33,女性二人が部屋でWiiのゲームを楽しんでいる,train2014/COCO_train2014_000000011328.jpg
34,数人の子供と大人が食卓を囲んでいる,train2014/COCO_train2014_000000106567.jpg
35,この女性はピンクのテニスウェアを着ている,train2014/COCO_train2014_000000114945.jpg
36,部屋にはゲームをしている二人の男性がいる,train2014/COCO_train2014_000000061842.jpg
37,大リークの試合で、得点して喜んでいる,train2014/COCO_train2014_000000039528.jpg
38,黒いシャツの男性と小型犬がいる,train2014/COCO_train2014_000000073610.jpg
39,皆でゲートボールを楽しんでいる,train2014/COCO_train2014_000000004377.jpg
40,緑色のTシャツを着た男性が、キッチンで料理をしている,train2014/COCO_train2014_000000039548.jpg
