no,images,subject,cap_original,cap_ll,cap_lh,cap_hl,cap_hh,ll_humor_score,ll_img_sim,ll_word_sim,lh_humor_score,lh_img_sim,lh_word_sim,hl_humor_score,hl_img_sim,hl_word_sim,hh_humor_score,hh_img_sim,hh_word_sim
2,COCO_test2015_000000007390.jpg,女性,女性が笑顔でピザを持っていますね！,空母女が笑顔でピザを持っていますね！,ドッグ女が笑顔でピザを持っていますね！,副木女が笑顔でピザを持っていますね！,化粧品女が笑顔でピザを持っていますね！,0.9964943063,1.29e-08,0.0035056808,0.3680149457,8.94e-08,0.3680149786,0.2324051879,0.2673176229,0.1306028185,0.0438412664,0.1346825212,0.3255156348
9,COCO_test2015_000000014136.jpg,男性,スーツを着た男性がマイクスタンドに掛けられていますね！,スーツを着たマンホール男がマイクスタンドに掛けられていますね！,スーツを着たかえる男がマイクスタンドに掛けられていますね！,スーツを着た花婿男がマイクスタンドに掛けられていますね！,スーツを着たスーツ男がマイクスタンドに掛けられていますね！,0.9981432439,4.44e-08,0.0018567118,0.2534474944,5.6e-09,0.2534474958,0.6128960991,0.62531358,0.0198580061,0.0156586128,0.0552246645,0.2835438284
11,COCO_test2015_000000067858.jpg,子供,テニスコートのネットの前に、ラケットを持った女性と子供がいますね！,テニスコートのネットの前に、ラケットを持った女性と家具がいますね！,テニスコートのネットの前に、ラケットを持った女性と鳥がいますね！,テニスコートのネットの前に、ラケットを持った女性と大垣がいますね！,テニスコートのネットの前に、ラケットを持った女性とフェンスがいますね！,0.9998082836,1e-10,0.0001917163,0.4177092573,0.0,0.4177092573,0.9441833588,0.99753654,0.0534849392,0.0533531812,0.99753654,0.0534849392
12,COCO_test2015_000000101130.jpg,男性,男性がテレビゲームでボウリングをプレイしていますね！,モーターボート男がテレビゲームでボウリングをプレイしていますね！,野羊男がテレビゲームでボウリングをプレイしていますね！,デニム男がテレビゲームでボウリングをプレイしていますね！,ジーンズ男がテレビゲームでボウリングをプレイしていますね！,0.993577133,4.38e-08,0.0064228235,0.2867280405,6.34e-08,0.2867280587,0.3911913983,0.5069378614,0.2283247552,0.1157464631,0.5069378614,0.2283247552
13,COCO_test2015_000000011829.jpg,男性,スノーボードを持った男性が立っていますね！,スノーボードを持ったモデム男が立っていますね！,スノーボードを持ったネクタイ男が立っていますね！,スノーボードを持ったスキーの板男が立っていますね！,スノーボードを持ったショベル男が立っていますね！,0.9961315771,1.871e-07,0.0038682365,0.3752430517,1.932e-07,0.3752431242,0.2972766444,0.3372597992,0.1185529817,0.0445111436,0.2756572068,0.1614728092
18,COCO_test2015_000000078647.jpg,男の子,男の子がチョコレートドーナツを食べていますね！,蒸気機関車がチョコレートドーナツを食べていますね！,小鳥がチョコレートドーナツを食べていますね！,ヘラがチョコレートドーナツを食べていますね！,へらがチョコレートドーナツを食べていますね！,0.9981911971,5.83e-08,0.0018087447,0.5364592071,5.33e-08,0.5364592357,0.4635925282,0.4957174361,0.0648048778,0.0321249079,0.4957174361,0.0648048778
19,COCO_test2015_000000545819.jpg,女性,女性がケーキを切っているところを女性が見ていますね！,航空母艦女がケーキを切っているところを女性が見ていますね！,山羊女がケーキを切っているところを女性が見ていますね！,花聟女がケーキを切っているところを女性が見ていますね！,花婿女がケーキを切っているところを女性が見ていますね！,0.9964943181,1.1e-09,0.0035056808,0.3173351651,9e-10,0.3173351654,0.7143521235,0.8326009512,0.1420234117,0.1182488277,0.8326009512,0.1420234117
21,COCO_test2015_000000088811.jpg,フリスビー,芝生の上でフリスビーを使って遊んでいますね！,芝生の上で空母を使って遊んでいますね！,芝生の上でスノーモービルを使って遊んでいますね！,芝生の上で日焼け止めを使って遊んでいますね！,芝生の上でサッカーボールを使って遊んでいますね！,0.9940964987,2.3e-09,0.005903499,0.3967862739,2.1e-09,0.3967862747,0.1454262242,0.2237394154,0.3500196469,0.0788303217,0.1461407393,0.5394137328
23,COCO_test2015_000000564961.jpg,男性,男性がサーフボードに乗っていますね！,石垣男がサーフボードに乗っていますね！,クローゼット男がサーフボードに乗っていますね！,ラケット男がサーフボードに乗っていますね！,スイミングパンツ男がサーフボードに乗っていますね！,0.994630444,5.7e-09,0.0053695503,0.3627719592,8.7e-09,0.3627719624,0.3003057598,0.3631353378,0.1730197297,0.0705362681,0.3536016345,0.199479474
24,COCO_test2015_000000531794.jpg,男性,男性がフリスビーを指で回していますね！,円蓋男がフリスビーを指で回していますね！,スカート男がフリスビーを指で回していますね！,ラグビーボール男がフリスビーを指で回していますね！,バレーボール男がフリスビーを指で回していますね！,0.9946636578,3.1e-08,0.0053363114,0.3369235479,7.89e-08,0.3369235745,0.6679145475,0.6783257723,0.0153484141,0.0208309633,0.1261550933,0.1651218571
