no,images,subject,cap_original,cap_ll,cap_lh,cap_hl,cap_hh,ll_humor_score,ll_img_sim,ll_word_sim,lh_humor_score,lh_img_sim,lh_word_sim,hl_humor_score,hl_img_sim,hl_word_sim,hh_humor_score,hh_img_sim,hh_word_sim
6,COCO_train2014_000000087610.jpg,子供たち,子供たちがハンドルのおもちゃを持っていますね！,シャチがハンドルのおもちゃを持っていますね！,鳥がハンドルのおもちゃを持っていますね！,大蛇がハンドルのおもちゃを持っていますね！,ワン公がハンドルのおもちゃを持っていますね！,0.9990051715,1.36e-08,0.0009948149,0.4804483776,1e-10,0.4804483776,0.0008274184,0.0008764561,0.0559500135,0.0001882504,0.0003932303,0.4787281452
25,COCO_train2014_000000008297.jpg,女性,テニスボールを打ち返そうと待機している女性ですね！,テニスボールを打ち返そうと待機しているぞう女ですね！,テニスボールを打ち返そうと待機しているネコ女ですね！,テニスボールを打ち返そうと待機している鯱女ですね！,テニスボールを打ち返そうと待機しているいぬ女ですね！,0.9994778069,0.0,0.0005221931,0.3921676719,0.0,0.3921676719,0.0,0.0,0.0031125797,0.0,0.0,0.3680149786
41,COCO_train2014_000000039548.jpg,男性,緑色のTシャツを着た男性が、キッチンで料理をしていますね！,緑色のTシャツを着たカメ男が、キッチンで料理をしていますね！,緑色のTシャツを着た猫男が、キッチンで料理をしていますね！,緑色のTシャツを着たカニ男が、キッチンで料理をしていますね！,緑色のTシャツを着たいぬっころ男が、キッチンで料理をしていますね！,0.9796603573,1.978e-07,0.0203394489,0.3355119872,2.338e-07,0.3355120656,0.0001394087,0.0001594083,0.1254615428,3.0202e-05,9.39698e-05,0.3214015403
44,COCO_train2014_000000111425.jpg,撮影,青いシートの上でスノーボードにのって撮影していますね！,青いシートの上でスノーボードにのってマングースしていますね！,青いシートの上でスノーボードにのってホッキョクグマしていますね！,青いシートの上でスノーボードにのって猫していますね！,青いシートの上でスノーボードにのって犬していますね！,0.9975583658,2.2836e-06,0.0024393562,0.1481067034,2.6129e-06,0.1481070904,0.0041931978,0.0045456793,0.0775421063,0.0003867866,0.0027485448,0.140724123
48,COCO_train2014_000000088576.jpg,女性,女性が商品を手に携帯で電話をしていますね！,亀女が商品を手に携帯で電話をしていますね！,ヤギ女が商品を手に携帯で電話をしていますね！,モルモット女が商品を手に携帯で電話をしていますね！,ドッグ女が商品を手に携帯で電話をしていますね！,0.9643579539,2.77e-08,0.0356420194,0.3173351648,1.9e-09,0.3173351654,7.15735e-05,9.14365e-05,0.2172332054,4.04192e-05,0.0001098304,0.3680149786
63,COCO_train2014_000000023723.jpg,子供,子供がパソコンを開いて喜んでいますね！,リザードがパソコンを開いて喜んでいますね！,いぬがパソコンを開いて喜んでいますね！,へびがパソコンを開いて喜んでいますね！,アワビがパソコンを開いて喜んでいますね！,0.9783308314,6.634e-07,0.0216685196,0.4524850191,2.476e-07,0.4524851311,0.0070885979,0.0073814476,0.0396737456,0.0010196133,0.0062585045,0.1629164412
65,COCO_train2014_000000108360.jpg,子供,チェックのシャツを着た子供が書類を持っていますね！,チェックのシャツを着た長虫が書類を持っていますね！,チェックのシャツを着たネコが書類を持っていますね！,チェックのシャツを着た猫が書類を持っていますね！,チェックのシャツを着たワン公が書類を持っていますね！,0.9603228163,3.5801e-06,0.0396737456,0.4850809062,1.6569e-06,0.4850817099,0.0043956914,0.0050522084,0.1299465422,0.002767748,0.0061167711,0.4524851311
75,COCO_train2014_000000104277.jpg,男性,会合の中で全員座っているところ黒いシャツを着た男性だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たムカデ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たねこ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たサザエ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着た豚男だけが立っていますね！,0.9625708997,3.872e-07,0.0374287276,0.335512029,1.091e-07,0.3355120656,0.0016771032,0.0019623523,0.145360801,0.0003680437,0.0012001358,0.3066684
82,COCO_train2014_000000030094.jpg,男,青と白のボーダーシャツの男がシルバーの携帯電話を持っていますね！,青と白のボーダーシャツのイソギンチャク男がシルバーの携帯電話を持っていますね！,青と白のボーダーシャツのフォックス男がシルバーの携帯電話を持っていますね！,青と白のボーダーシャツの長虫男がシルバーの携帯電話を持っていますね！,青と白のボーダーシャツのいぬっころ男がシルバーの携帯電話を持っていますね！,0.988816705,1.349e-07,0.0111831616,0.4622151061,1.51e-08,0.4622151131,0.001019646,0.001067711,0.0450168763,9.68783e-05,0.0002635065,0.3676503651
84,COCO_train2014_000000008593.jpg,布,巨大なハサミで布を切ろうとしていますね！,巨大なハサミでジュゴンを切ろうとしていますね！,巨大なハサミでアワビを切ろうとしていますね！,巨大なハサミでバードを切ろうとしていますね！,巨大なハサミでゾウを切ろうとしていますね！,0.9937412568,4.164e-07,0.0062583294,0.4112308986,1.185e-07,0.4112309473,0.0058320462,0.0078138877,0.2536306593,0.0024977639,0.0072592027,0.3440823957
100,COCO_train2014_000000029145.jpg,女性,メガネをかけて、目を大きく開いている女性ですね！,メガネをかけて、目を大きく開いているゾウ女ですね！,メガネをかけて、目を大きく開いているダック女ですね！,メガネをかけて、目を大きく開いている狼女ですね！,メガネをかけて、目を大きく開いている犬女ですね！,0.9994778052,1.7e-09,0.0005221931,0.2801939308,3.9e-09,0.2801939319,0.0218150201,0.030005198,0.2729586359,0.0098525203,0.0267720632,0.3680149786
105,COCO_train2014_000000020188.jpg,男性,髭の生えた男性がスケートボードの上に座っていますね！,髭の生えたフラミンゴ男がスケートボードの上に座っていますね！,髭の生えた猫男がスケートボードの上に座っていますね！,髭の生えたバード男がスケートボードの上に座っていますね！,髭の生えたいぬっころ男がスケートボードの上に座っていますね！,0.9529581865,3.5299e-06,0.0470384496,0.3355108496,3.6244e-06,0.3355120656,0.0009522899,0.0011780638,0.1916482557,0.0003781837,0.0011766704,0.3214015403
106,COCO_train2014_000000105844.jpg,男性,白いシャツを着ているロングヘアの男性と黒いシャツを着ている眼鏡の男性がテニスラケットを持っていますね！,白いシャツを着ているロングヘアの鯱男と黒いシャツを着ている眼鏡の男性がテニスラケットを持っていますね！,白いシャツを着ているロングヘアのねこ男と黒いシャツを着ている眼鏡の男性がテニスラケットを持っていますね！,白いシャツを着ているロングヘアのお魚男と黒いシャツを着ている眼鏡の男性がテニスラケットを持っていますね！,白いシャツを着ているロングヘアの小鳥男と黒いシャツを着ている眼鏡の男性がテニスラケットを持っていますね！,0.9785094142,8.39e-08,0.0214905037,0.3355119923,2.185e-07,0.3355120656,0.0002504855,0.0002938037,0.1474391169,4.55606e-05,0.0002377305,0.1916482557
108,COCO_train2014_000000014468.jpg,男性,部屋の中で二人の男性がWiiをしていますね！,部屋の中で二人のフラミンゴ男がWiiをしていますね！,部屋の中で二人のいぬっころ男がWiiをしていますね！,部屋の中で二人のお魚男がWiiをしていますね！,部屋の中で二人のサメ男がWiiをしていますね！,0.9529592669,2.3962e-06,0.0470384496,0.321401313,7.072e-07,0.3214015403,0.0141400175,0.0165853463,0.1474391169,0.0026235812,0.0125326188,0.2093402211
109,COCO_train2014_000000012861.jpg,組,ベンチに座って同じポーズを決める3人組ですね！,ベンチに座って同じポーズを決める3人サナダムシですね！,ベンチに座って同じポーズを決める3人ヒョウですね！,ベンチに座って同じポーズを決める3人ワン公ですね！,ベンチに座って同じポーズを決める3人ダチョウですね！,0.998448281,6.8e-09,0.0015517122,0.1605161266,1.776e-07,0.1605161551,0.0116860841,0.0117663462,0.0068213247,0.0001393533,0.0029331099,0.0475104208
118,COCO_train2014_000000066539.jpg,青年,青年が、青空にカイトを揚げていますね！,三葉虫が、青空にカイトを揚げていますね！,オオカミが、青空にカイトを揚げていますね！,カモメが、青空にカイトを揚げていますね！,犬が、青空にカイトを揚げていますね！,0.9977417493,2.948e-07,0.0022579566,0.3033542623,8.42e-08,0.3033542878,0.0006052386,0.0006156807,0.0169601915,3.5167e-05,0.0001790305,0.1964302129
120,COCO_train2014_000000101597.jpg,女,水色の壁の前ではさみと紙を持った女がいますね！,水色の壁の前ではさみと紙を持ったイソギンチャク女がいますね！,水色の壁の前ではさみと紙を持ったキツネ女がいますね！,水色の壁の前ではさみと紙を持ったコックローチ女がいますね！,水色の壁の前ではさみと紙を持ったサソリ女がいますね！,0.9916098756,3.143e-07,0.0083898127,0.5653937278,1.0822e-06,0.5653943397,0.0050306421,0.0052950513,0.0499351611,0.0005009201,0.0018749572,0.2671634769
125,COCO_train2014_000000098841.jpg,女性,2人の女性がWiiで遊んでいますね！,2人のぞう女がWiiで遊んでいますね！,2人の猫女がWiiで遊んでいますね！,2人の蛇女がWiiで遊んでいますね！,2人の犬女がWiiで遊んでいますね！,0.999477806,9e-10,0.0005221931,0.3921676642,1.96e-08,0.3921676719,0.0008981289,0.0009344246,0.0388428007,6.17291e-05,0.0001677354,0.3680149786
131,COCO_train2014_000000095535.jpg,男性,二人の男性が並んで座っていますね！,二人の亀男が並んで座っていますね！,二人のねこ男が並んで座っていますね！,二人のサザエ男が並んで座っていますね！,二人のラクダ男が並んで座っていますね！,0.9796604483,1.049e-07,0.0203394489,0.3355119917,2.203e-07,0.3355120656,0.0001336805,0.0001564175,0.145360801,2.71113e-05,0.0001218753,0.2224514432
132,COCO_train2014_000000059972.jpg,男性,ワイングラスを持った女性と男性が携帯を片手に話していますね！,ワイングラスを持った女性とシャチ男が携帯を片手に話していますね！,ワイングラスを持った女性とネコ男が携帯を片手に話していますね！,ワイングラスを持った女性とザリガニ男が携帯を片手に話していますね！,ワイングラスを持った女性とドッグ男が携帯を片手に話していますね！,0.9785094952,1.1e-09,0.0214905037,0.3355120648,2.4e-09,0.3355120656,8.49948e-05,9.55215e-05,0.110202818,2.05574e-05,6.39618e-05,0.3214015403
138,COCO_train2014_000000055874.jpg,子供,歯ブラシを持った女性を振り返って見ている子供がいますね！,歯ブラシを持った女性を振り返って見ているトカゲがいますね！,歯ブラシを持った女性を振り返って見ているネコがいますね！,歯ブラシを持った女性を振り返って見ている大蛇がいますね！,歯ブラシを持った女性を振り返って見ているワン公がいますね！,0.9783314797,7e-10,0.0216685196,0.4850816971,2.64e-08,0.4850817099,0.0009426282,0.0009815708,0.0396737456,0.0003941622,0.0008711052,0.4524851311
147,COCO_train2014_000000118186.jpg,少女,黄緑のシャツを着た少女がソフトボールをキャッチしようとしていますね！,黄緑のシャツを着たトリケラトプスがソフトボールをキャッチしようとしていますね！,黄緑のシャツを着たネコがソフトボールをキャッチしようとしていますね！,黄緑のシャツを着た長虫がソフトボールをキャッチしようとしていますね！,黄緑のシャツを着たいぬがソフトボールをキャッチしようとしていますね！,0.9550507134,6.42e-08,0.0449492253,0.5580575067,9.66e-08,0.5580575606,0.0015625,0.0016057525,0.026935993,0.0007984263,0.0017902628,0.4459827465
153,COCO_train2014_000000016827.jpg,子供,野球のユニフォームを着た子供がバッターの構えをしていますね！,野球のユニフォームを着た鯱がバッターの構えをしていますね！,野球のユニフォームを着た猫がバッターの構えをしていますね！,野球のユニフォームを着たお魚がバッターの構えをしていますね！,野球のユニフォームを着たいぬっころがバッターの構えをしていますね！,0.9902260509,1.08e-08,0.0097739384,0.4850817002,2e-08,0.4850817099,5.28321e-05,7.72234e-05,0.3158533958,3.91916e-05,8.66142e-05,0.4524851311
163,COCO_train2014_000000057362.jpg,戦闘機,青空にビキニの女性2人と猫と戦闘機ですね！,青空にビキニの女性2人と猫と蝶々ですね！,青空にビキニの女性2人と猫とスパイダーですね！,青空にビキニの女性2人と猫と猫ですね！,青空にビキニの女性2人と猫とワン公ですね！,0.9996427456,1.5609e-06,0.0003556941,0.255601684,2.138e-07,0.2556017386,0.0126725926,0.013497036,0.0610832892,0.000997603,0.0042566611,0.234362808
166,COCO_train2014_000000093916.jpg,女性,紫のスコートの女性がテニスボールを打とうとしていますね！,紫のスコートのゾウ女がテニスボールを打とうとしていますね！,紫のスコートの猫女がテニスボールを打とうとしていますね！,紫のスコートのカメ女がテニスボールを打とうとしていますね！,紫のスコートのドッグ女がテニスボールを打とうとしていますね！,0.9994778069,0.0,0.0005221931,0.3921676719,0.0,0.3921676719,1.9405e-06,2.0122e-06,0.0356420194,5.631e-07,1.53e-06,0.3680149786
169,COCO_train2014_000000044840.jpg,子供,くまのぬいぐるみのリボンを噛む子供ですね！,くまのぬいぐるみのリボンを噛む鯱ですね！,くまのぬいぐるみのリボンを噛むねこですね！,くまのぬいぐるみのリボンを噛むヒトデですね！,くまのぬいぐるみのリボンを噛む犬ですね！,0.9902254103,6.577e-07,0.0097739384,0.4850816194,1.865e-07,0.4850817099,0.0007703652,0.0009250009,0.1671736133,0.0002879188,0.0006363055,0.4524851311
178,COCO_train2014_000000022411.jpg,人,図書館でたくさんの人が座りながらピザを食べていますね！,図書館でたくさんの大蛇人間が座りながらピザを食べていますね！,図書館でたくさんのいぬっころ人間が座りながらピザを食べていますね！,図書館でたくさんのトリケラトプス人間が座りながらピザを食べていますね！,図書館でたくさんの小鳥人間が座りながらピザを食べていますね！,0.9874126075,1.52e-08,0.0125873775,0.3634505793,1.85e-08,0.363450586,5.25258e-05,5.54605e-05,0.0529148635,1.01842e-05,4.8776e-05,0.2087949119
181,COCO_train2014_000000060472.jpg,人,キーボードを首から下げてバンザイをする男の人ですね！,キーボードを首から下げてバンザイをする男の長虫人間ですね！,キーボードを首から下げてバンザイをする男のいぬ人間ですね！,キーボードを首から下げてバンザイをする男のカニ人間ですね！,キーボードを首から下げてバンザイをする男のフィッシュ人間ですね！,0.9874124954,1.287e-07,0.0125873775,0.3634505747,3.11e-08,0.363450586,0.0028403087,0.0035981496,0.2106196066,0.0008594927,0.0030472372,0.2820563713
184,COCO_train2014_000000075608.jpg,グラス,立っている男性の左手にはグラスが握られていますね！,立っている男性の左手には昆虫が握られていますね！,立っている男性の左手にはリスが握られていますね！,立っている男性の左手にはヘビが握られていますね！,立っている男性の左手にはスカンクが握られていますね！,0.9221243998,6.04e-08,0.0778755445,0.4107829742,1.398e-07,0.4107830316,0.0355185905,0.0376399755,0.0563598927,0.0050800988,0.0132431686,0.3836014615
188,COCO_train2014_000000023935.jpg,女の子,手すりを持ってヨットのほうを見ている小さな女の子ですね！,手すりを持ってヨットのほうを見ている小さなワラジムシですね！,手すりを持ってヨットのほうを見ている小さな鳥ですね！,手すりを持ってヨットのほうを見ている小さな鮫ですね！,手すりを持ってヨットのほうを見ている小さなお魚ですね！,0.9174450793,2.622e-07,0.0825546801,0.5447276159,2.85e-08,0.5447276314,0.0105749573,0.0148093589,0.285927408,0.0044601186,0.0146413837,0.3046241177
191,COCO_train2014_000000105063.jpg,女性,男性と女性がそれぞれリモコンを握っていますね！,男性とカタツムリ女がそれぞれリモコンを握っていますね！,男性とネコ女がそれぞれリモコンを握っていますね！,男性とロブスター女がそれぞれリモコンを握っていますね！,男性と犬女がそれぞれリモコンを握っていますね！,0.9956281983,8.3e-09,0.0043717934,0.392167663,2.28e-08,0.3921676719,8.53465e-05,9.0132e-05,0.0530946987,9.062e-06,2.4624e-05,0.3680149786
194,COCO_train2014_000000088653.jpg,片方,眼鏡をかけた2人の男性、片方が相手の髪を指で挟んでいますね！,眼鏡をかけた2人の男性、虫が相手の髪を指で挟んでいますね！,眼鏡をかけた2人の男性、蝿が相手の髪を指で挟んでいますね！,眼鏡をかけた2人の男性、ロブスターが相手の髪を指で挟んでいますね！,眼鏡をかけた2人の男性、カニが相手の髪を指で挟んでいますね！,0.9700890528,4.897e-07,0.0299104721,0.3211879855,3.243e-07,0.3211880897,0.0022630976,0.0024417355,0.0731602341,0.0002270556,0.0014310902,0.158659214
205,COCO_train2014_000000057753.jpg,後ろ姿,黒いシャツとベージュのショートパンツをはいたおさげ髪の女性の後ろ姿ですね！,黒いシャツとベージュのショートパンツをはいたおさげ髪の女性のサナダムシですね！,黒いシャツとベージュのショートパンツをはいたおさげ髪の女性の鳥ですね！,黒いシャツとベージュのショートパンツをはいたおさげ髪の女性のフィッシュですね！,黒いシャツとベージュのショートパンツをはいたおさげ髪の女性のいぬっころですね！,0.9236828127,7.826e-07,0.0763164644,0.4943934416,1.186e-07,0.4943935002,0.0008194526,0.0010138872,0.1917714715,0.0003209426,0.001030196,0.3115354943
208,COCO_train2014_000000059157.jpg,男性,メガネをかけた男性が右手にはさみを持っていますね！,メガネをかけた鯱男が右手にはさみを持っていますね！,メガネをかけた猫男が右手にはさみを持っていますね！,メガネをかけたカブトムシ男が右手にはさみを持っていますね！,メガネをかけた豚男が右手にはさみを持っていますね！,0.9785094177,8.03e-08,0.0214905037,0.3355120532,3.7e-08,0.3355120656,0.0001778675,0.0002126567,0.1635934354,3.75553e-05,0.0001224623,0.3066684
216,COCO_train2014_000000021674.jpg,シンガー,スーツとサングラスを身に付けたシンガーですね！,スーツとサングラスを身に付けたサナダムシですね！,スーツとサングラスを身に付けた蝶々ですね！,スーツとサングラスを身に付けたサザエですね！,スーツとサングラスを身に付けたいぬっころですね！,0.9962955222,4.05e-07,0.0037040743,0.3638848276,6.39e-08,0.3638848509,0.0004188495,0.0004348964,0.0368980982,3.82066e-05,0.0004306156,0.0887256114
227,COCO_train2014_000000078642.jpg,娘,母と二人の娘はピザを作ろうとしていますね！,母と二人のコガネムシはピザを作ろうとしていますね！,母と二人のフォックスはピザを作ろうとしていますね！,母と二人のカニはピザを作ろうとしていますね！,母と二人のザリガニはピザを作ろうとしていますね！,0.9996265713,5.49e-08,0.0003733738,0.3620204275,8.4e-09,0.3620204305,0.0058476523,0.0059198071,0.0121887048,8.94823e-05,0.0021735311,0.0411691131
230,COCO_train2014_000000081576.jpg,露店,街中の通りの歩道に出されたウインナーとか並べた露店ですね！,街中の通りの歩道に出されたウインナーとか並べたカメレオンですね！,街中の通りの歩道に出されたウインナーとか並べたお魚ですね！,街中の通りの歩道に出されたウインナーとか並べたカニですね！,街中の通りの歩道に出されたウインナーとか並べたサザエですね！,0.9937837563,1.229e-07,0.0062161216,0.3583688026,1e-09,0.358368803,0.0026978304,0.0037976827,0.2896114302,0.0011462997,0.0025421267,0.45092153
234,COCO_train2014_000000028650.jpg,女の子,冷蔵庫の前に浮き輪を持って立つ女の子ですね！,冷蔵庫の前に浮き輪を持って立つ巻貝ですね！,冷蔵庫の前に浮き輪を持って立つバードですね！,冷蔵庫の前に浮き輪を持って立つイタチですね！,冷蔵庫の前に浮き輪を持って立ついぬですね！,0.9813422853,7.115e-07,0.0186570165,0.5447276289,4.6e-09,0.5447276314,0.0219683144,0.0338384993,0.3507893418,0.0194177908,0.0401680842,0.4834134172
239,COCO_train2014_000000078609.jpg,選手,クロスカントリーの選手が二人競り合っていますね！,クロスカントリーのイソギンチャクが二人競り合っていますね！,クロスカントリーの蝶々が二人競り合っていますね！,クロスカントリーのラクダが二人競り合っていますね！,クロスカントリーの犬が二人競り合っていますね！,0.9988435064,5.1e-09,0.0011564885,0.2586133378,5e-10,0.2586133379,8.25178e-05,8.66348e-05,0.0475213945,5.506e-06,3.22662e-05,0.1706423688
248,COCO_train2014_000000018934.jpg,姿,テニスラケットを持って走る男の横姿ですね！,テニスラケットを持って走る男の横サナダムシですね！,テニスラケットを持って走る男の横カエルですね！,テニスラケットを持って走る男の横コブラですね！,テニスラケットを持って走る男の横ダチョウですね！,0.934769721,1e-10,0.0652302789,0.4191879069,0.0,0.4191879069,6.168e-07,6.691e-07,0.0781878832,5.66e-08,2.141e-07,0.26422561
253,COCO_train2014_000000040995.jpg,バッター,バッターがバットを振っていますね！,山椒魚がバットを振っていますね！,蜘蛛がバットを振っていますね！,コガネムシがバットを振っていますね！,モンキーがバットを振っていますね！,0.996681654,0.0,0.003318346,0.2551802741,0.0,0.2551802741,2.15e-08,2.32e-08,0.0742855222,1.8e-09,1.64e-08,0.1087933761
264,COCO_train2014_000000081239.jpg,女性,何個もあるワイングラスを１つ持って女性が笑っていますね！,何個もあるワイングラスを１つ持って象女が笑っていますね！,何個もあるワイングラスを１つ持って犬女が笑っていますね！,何個もあるワイングラスを１つ持ってロブスター女が笑っていますね！,何個もあるワイングラスを１つ持ってカニ女が笑っていますね！,0.9994778069,0.0,0.0005221931,0.3680149785,2e-10,0.3680149786,7.48036e-05,7.8998e-05,0.0530946987,4.3051e-06,3.97737e-05,0.1082391543
276,COCO_train2014_000000075590.jpg,女性,サングラスをかけた女性が隣の男性の方を見ていますね！,サングラスをかけたシャチ女が隣の男性の方を見ていますね！,サングラスをかけたいぬっころ女が隣の男性の方を見ていますね！,サングラスをかけたカニ女が隣の男性の方を見ていますね！,サングラスをかけたモルモット女が隣の男性の方を見ていますね！,0.9968874195,8e-10,0.0031125797,0.3680149786,1e-10,0.3680149786,1.0374e-05,1.16332e-05,0.1082391543,2.322e-06,1.06888e-05,0.2172332054
282,COCO_train2014_000000042463.jpg,人物,クリスマスツリーの前の丸テーブルのキャラクターのマグカップと丸いケーキの前に座るメガネの人物ですね！,クリスマスツリーの前の丸テーブルのキャラクターのマグカップと丸いケーキの前に座るメガネの虚蝉ですね！,クリスマスツリーの前の丸テーブルのキャラクターのマグカップと丸いケーキの前に座るメガネのキツネですね！,クリスマスツリーの前の丸テーブルのキャラクターのマグカップと丸いケーキの前に座るメガネの蟹ですね！,クリスマスツリーの前の丸テーブルのキャラクターのマグカップと丸いケーキの前に座るメガネのドッグですね！,0.9970570252,3.8e-09,0.002942971,0.3123361282,3.1e-09,0.3123361292,0.0006078102,0.0006630275,0.0832806256,6.98752e-05,0.0002122123,0.329270081
289,COCO_train2014_000000047680.jpg,鍋,棚の上の段に鍋が下の段にお皿が置かれていますね！,棚の上の段にトカゲが下の段にお皿が置かれていますね！,棚の上の段に魚が下の段にお皿が置かれていますね！,棚の上の段にいぬが下の段にお皿が置かれていますね！,棚の上の段にロブスターが下の段にお皿が置かれていますね！,0.9913728739,6.39e-08,0.0086270628,0.5719037078,5.317e-07,0.5719040119,0.0007807696,0.0011027588,0.2919851409,0.000399588,0.0009924521,0.4026269434
295,COCO_train2014_000000057772.jpg,両親,眠たそうな子供とその両親が写っていますね！,眠たそうな子供とそのコガネムシが写っていますね！,眠たそうな子供とそのワン公が写っていますね！,眠たそうな子供とそのロブスターが写っていますね！,眠たそうな子供とそのザリガニが写っていますね！,0.9982494904,1.63e-08,0.0017504933,0.3264798729,4.418e-07,0.3264800171,0.0329822785,0.0331330597,0.004550778,0.0014166122,0.0195935071,0.072300083
308,COCO_train2014_000000017578.jpg,男性,店頭で焼きソーセージと格闘している男性がいますね！,店頭で焼きソーセージと格闘しているカメ男がいますね！,店頭で焼きソーセージと格闘している猫男がいますね！,店頭で焼きソーセージと格闘しているアワビ男がいますね！,店頭で焼きソーセージと格闘している犬男がいますね！,0.9796605182,3.36e-08,0.0203394489,0.3355120557,2.95e-08,0.3355120656,0.0002218877,0.0002596273,0.145360801,4.08962e-05,0.0001272434,0.3214015403
309,COCO_train2014_000000087465.jpg,男の子,Wiiリモコンをそれぞれ握る女の子と男の子ですね！,Wiiリモコンをそれぞれ握る女の子と蝉ですね！,Wiiリモコンをそれぞれ握る女の子と小鳥ですね！,Wiiリモコンをそれぞれ握る女の子とシャム猫ですね！,Wiiリモコンをそれぞれ握る女の子とドッグですね！,0.9264232524,5e-09,0.073576743,0.5364592356,2e-10,0.5364592357,6.77493e-05,0.0001047335,0.353126737,5.35556e-05,0.0001073891,0.498706517
313,COCO_train2014_000000075726.jpg,女性,メガネを掛けた女性はろうそくの立ったケーキを嬉しそうに持っていますね！,メガネを掛けた象女はろうそくの立ったケーキを嬉しそうに持っていますね！,メガネを掛けたワン公女はろうそくの立ったケーキを嬉しそうに持っていますね！,メガネを掛けたロブスター女はろうそくの立ったケーキを嬉しそうに持っていますね！,メガネを掛けたザリガニ女はろうそくの立ったケーキを嬉しそうに持っていますね！,0.9994775055,3.016e-07,0.0005221931,0.3680148203,4.301e-07,0.3680149786,0.0492328718,0.0519934483,0.0530946987,0.0029383793,0.0263581946,0.1114787786
