no,images,subject,cap_original,cap_ll,cap_lh,cap_hl,cap_hh,ll_humor_score,ll_img_sim,ll_word_sim,lh_humor_score,lh_img_sim,lh_word_sim,hl_humor_score,hl_img_sim,hl_word_sim,hh_humor_score,hh_img_sim,hh_word_sim
25,COCO_train2014_000000008297.jpg,女性,テニスボールを打ち返そうと待機している女性ですね！,テニスボールを打ち返そうと待機しているぞう女ですね！,テニスボールを打ち返そうと待機しているネコ女ですね！,テニスボールを打ち返そうと待機している鯱女ですね！,テニスボールを打ち返そうと待機しているいぬ女ですね！,0.9994778069,0.0,0.0005221931,0.3921676719,0.0,0.3921676719,0.0,0.0,0.0031125797,0.0,0.0,0.3680149786
41,COCO_train2014_000000039548.jpg,男性,緑色のTシャツを着た男性が、キッチンで料理をしていますね！,緑色のTシャツを着たカメ男が、キッチンで料理をしていますね！,緑色のTシャツを着た猫男が、キッチンで料理をしていますね！,緑色のTシャツを着たカニ男が、キッチンで料理をしていますね！,緑色のTシャツを着た犬男が、キッチンで料理をしていますね！,0.9796603573,1.978e-07,0.0203394489,0.3355119872,2.338e-07,0.3355120656,0.0001394087,0.0001594083,0.1254615428,3.0202e-05,9.39698e-05,0.3214015403
75,COCO_train2014_000000104277.jpg,男性,会合の中で全員座っているところ黒いシャツを着た男性だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たムカデ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たねこ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着たサザエ男だけが立っていますね！,会合の中で全員座っているところ黒いシャツを着た豚男だけが立っていますね！,0.9625708997,3.872e-07,0.0374287276,0.335512029,1.091e-07,0.3355120656,0.0016771032,0.0019623523,0.145360801,0.0003680437,0.0012001358,0.3066684
108,COCO_train2014_000000014468.jpg,男性,部屋の中で二人の男性がWiiをしていますね！,部屋の中で二人のフラミンゴ男がWiiをしていますね！,部屋の中で二人の犬男がWiiをしていますね！,部屋の中で二人のお魚男がWiiをしていますね！,部屋の中で二人のサメ男がWiiをしていますね！,0.9529592669,2.3962e-06,0.0470384496,0.321401313,7.072e-07,0.3214015403,0.0141400175,0.0165853463,0.1474391169,0.0026235812,0.0125326188,0.2093402211
208,COCO_train2014_000000059157.jpg,男性,メガネをかけた男性が右手にはさみを持っていますね！,メガネをかけた鯱男が右手にはさみを持っていますね！,メガネをかけた猫男が右手にはさみを持っていますね！,メガネをかけたカブトムシ男が右手にはさみを持っていますね！,メガネをかけた豚男が右手にはさみを持っていますね！,0.9785094177,8.03e-08,0.0214905037,0.3355120532,3.7e-08,0.3355120656,0.0001778675,0.0002126567,0.1635934354,3.75553e-05,0.0001224623,0.3066684
276,COCO_train2014_000000075590.jpg,女性,サングラスをかけた女性が隣の男性の方を見ていますね！,サングラスをかけたシャチ女が隣の男性の方を見ていますね！,サングラスをかけたいぬっころ女が隣の男性の方を見ていますね！,サングラスをかけたカニ女が隣の男性の方を見ていますね！,サングラスをかけたモルモット女が隣の男性の方を見ていますね！,0.9968874195,8e-10,0.0031125797,0.3680149786,1e-10,0.3680149786,1.0374e-05,1.16332e-05,0.1082391543,2.322e-06,1.06888e-05,0.2172332054
308,COCO_train2014_000000017578.jpg,男性,店頭で焼きソーセージと格闘している男性がいますね！,店頭で焼きソーセージと格闘しているカメ男がいますね！,店頭で焼きソーセージと格闘している猫男がいますね！,店頭で焼きソーセージと格闘しているアワビ男がいますね！,店頭で焼きソーセージと格闘している犬男がいますね！,0.9796605182,3.36e-08,0.0203394489,0.3355120557,2.95e-08,0.3355120656,0.0002218877,0.0002596273,0.145360801,4.08962e-05,0.0001272434,0.3214015403
371,COCO_train2014_000000008979.jpg,女性,筋肉質な腕でボールを打ち返す瞬間のテニスプレイヤーの女性がいますね！,筋肉質な腕でボールを打ち返す瞬間のテニスプレイヤーの蛇女がいますね！,筋肉質な腕でボールを打ち返す瞬間のテニスプレイヤーのねこ女がいますね！,筋肉質な腕でボールを打ち返す瞬間のテニスプレイヤーの鯱女がいますね！,筋肉質な腕でボールを打ち返す瞬間のテニスプレイヤーのワン公女がいますね！,0.9611571993,0.0,0.0388428007,0.3921676719,0.0,0.3921676719,0.0,0.0,0.0031125797,0.0,0.0,0.3680149786
408,COCO_train2014_000000104299.jpg,男性,スーツを着た男性が鏡の前で自撮りしていますね！,スーツを着た鯱男が鏡の前で自撮りしていますね！,スーツを着た猫男が鏡の前で自撮りしていますね！,スーツを着たサザエ男が鏡の前で自撮りしていますね！,スーツを着た犬男が鏡の前で自撮りしていますね！,0.9785094954,9e-10,0.0214905037,0.3355120654,6e-10,0.3355120656,4.3548e-06,5.0955e-06,0.145360801,1.2181e-06,3.7899e-06,0.3214015403
409,COCO_train2014_000000018377.jpg,女性,ドットのTシャツの女性がピザを切っていますね！,ドットのTシャツのシャチ女がピザを切っていますね！,ドットのTシャツの猫女がピザを切っていますね！,ドットのTシャツのコックローチ女がピザを切っていますね！,ドットのTシャツのザリガニ女がピザを切っていますね！,0.9968874201,2e-10,0.0031125797,0.3921676719,0.0,0.3921676719,0.0010760066,0.0010802117,0.0038928923,9.69225e-05,0.0008694252,0.1114787786
