no,images,subject,cap_original,cap_ll,cap_lh,cap_hl,cap_hh,ll_humor_score,ll_img_sim,ll_word_sim,lh_humor_score,lh_img_sim,lh_word_sim,hl_humor_score,hl_img_sim,hl_word_sim,hh_humor_score,hh_img_sim,hh_word_sim
6,COCO_train2014_000000087610.jpg,子供たち,子供たちがハンドルのおもちゃを持っていますね！,脱穀機がハンドルのおもちゃを持っていますね！,鳥がハンドルのおもちゃを持っていますね！,副木がハンドルのおもちゃを持っていますね！,トイレットペーパーがハンドルのおもちゃを持っていますね！,0.9932297119,5e-10,0.0067702876,0.4804483776,1e-10,0.4804483776,0.524020029,0.5405940413,0.0306588883,0.0303037523,0.2184047401,0.1387504332
7,COCO_train2014_000000025167.jpg,女性,女性が包丁で林檎の皮をむいていますね！,クレーン女が包丁で林檎の皮をむいていますね！,和服女が包丁で林檎の皮をむいていますね！,瓶女が包丁で林檎の皮をむいていますね！,メット女が包丁で林檎の皮をむいていますね！,0.9930824294,5.12e-08,0.0069175198,0.4923959408,7.83e-08,0.4923959794,0.1647930228,0.1754985005,0.061000394,0.0213551263,0.0978676006,0.2182042487
10,COCO_train2014_000000047778.jpg,幼児,顔の横に犬のぬいぐるみを置いた幼児が手をあげていますね！,顔の横に犬のぬいぐるみを置いた機が手をあげていますね！,顔の横に犬のぬいぐるみを置いたいぬが手をあげていますね！,顔の横に犬のぬいぐるみを置いたとんかちが手をあげていますね！,顔の横に犬のぬいぐるみを置いた手押し車が手をあげていますね！,0.9901507392,5.149e-07,0.009848751,0.397911854,6.664e-07,0.3979121192,0.0830781873,0.0859681293,0.0336164346,0.0089561227,0.0417730026,0.2143997823
15,COCO_train2014_000000041305.jpg,人々,人々が川の流れの中でバイキングを楽しんでいますね！,靴下が川の流れの中でバイキングを楽しんでいますね！,ワン公が川の流れの中でバイキングを楽しんでいますね！,鍋が川の流れの中でバイキングを楽しんでいますね！,おたまが川の流れの中でバイキングを楽しんでいますね！,0.9996192421,3.2e-09,0.0003807547,0.394704059,2.2e-09,0.3947040599,0.062090364,0.0756796673,0.1795634648,0.0151163287,0.0666370541,0.2268456926
16,COCO_train2014_000000032903.jpg,男性,黒いズボンを履いた赤いＴシャツをきた男性がいますね！,黒いズボンを履いた赤いＴシャツをきたディスクブレーキ男がいますね！,黒いズボンを履いた赤いＴシャツをきた犬男がいますね！,黒いズボンを履いた赤いＴシャツをきたアイスボックス男がいますね！,黒いズボンを履いた赤いＴシャツをきた靴屋男がいますね！,0.9964287272,1.2e-09,0.0035712716,0.3214015386,5.4e-09,0.3214015403,0.0743216732,0.0784297958,0.0523796166,0.016264125,0.0661726817,0.2457830727
18,COCO_train2014_000000033901.jpg,男性,男性がワイングラスに入った赤ワインを飲んでいますね！,マンホール男がワイングラスに入った赤ワインを飲んでいますね！,いぬっころ男がワイングラスに入った赤ワインを飲んでいますね！,スロット男がワイングラスに入った赤ワインを飲んでいますね！,飲食店男がワイングラスに入った赤ワインを飲んでいますね！,0.9981432699,1.83e-08,0.0018567118,0.3214015375,8.7e-09,0.3214015403,0.4743896851,0.4851251841,0.0221293377,0.0314360189,0.1424570233,0.2206701932
20,COCO_train2014_000000009057.jpg,男性,外国人女性2人と男性が海を眺めていますね！,外国人女性2人とディスクブレーキ男が海を眺めていますね！,外国人女性2人とネコ男が海を眺めていますね！,外国人女性2人と海際男が海を眺めていますね！,外国人女性2人とスイミングパンツ男が海を眺めていますね！,0.9964287281,3e-10,0.0035712716,0.3355120653,8e-10,0.3355120656,0.2451773681,0.2620669305,0.0644475148,0.030560312,0.1532002836,0.199479474
24,COCO_train2014_000000118296.jpg,男性,サングラスをかけた男性がフリスビーをしていますね！,サングラスをかけたマンホール男がフリスビーをしていますね！,サングラスをかけたクローゼット男がフリスビーをしていますね！,サングラスをかけたシュノーケル男がフリスビーをしていますね！,サングラスをかけたサングラス男がフリスビーをしていますね！,0.9981431202,1.683e-07,0.0018567118,0.362771879,2.3e-07,0.3627719624,0.1249871957,0.1327054948,0.0581611119,0.0191295656,0.0612680465,0.3122274451
27,COCO_train2014_000000022222.jpg,二人,ビニール傘をさした二人が話しをしていますね！,ビニール傘をさしたコガネムシが話しをしていますね！,ビニール傘をさしたフォックスが話しをしていますね！,ビニール傘をさした泡が話しをしていますね！,ビニール傘をさした喪服が話しをしていますね！,0.9930485576,2e-10,0.0069514422,0.342004649,0.0,0.342004649,0.0456449698,0.0458387583,0.0042276128,0.0010354877,0.004117446,0.2514878699
29,COCO_train2014_000000110142.jpg,男性,白いシャツを着た男性がスケボーをしていますね！,白いシャツを着たモデム男がスケボーをしていますね！,白いシャツを着たネクタイ男がスケボーをしていますね！,白いシャツを着た帚男がスケボーをしていますね！,白いシャツを着たテニスラケット男がスケボーをしていますね！,0.9961317409,2.27e-08,0.0038682365,0.3752430882,9.59e-08,0.3752431242,0.4646598494,0.4798705876,0.0316975838,0.0317028275,0.1832324415,0.1730197297
